A	C	endYear	fdaYear
Amphotericin B	Leishmaniasis, Visceral	1990	1997
Bromocriptine	Diabetes Mellitus, Type 2	1991	2009
Celecoxib	Adenomatous Polyposis Coli	1999	1999
Colesevelam Hydrochloride	Diabetes Mellitus, Type 2	2006	2008
Finasteride	Alopecia	1993	1997
Fluoxetine	Premenstrual Dysphoric Disorder	1996	2000
Galantamine	Alzheimer Disease	1989	2001
Methotrexate	Arthritis, Rheumatoid	1975	1980
Methotrexate	Psoriasis	1968	1971
Minoxidil	Alopecia	1982	1988
Paroxetine	Hot Flashes	1999	2013
Raloxifene Hydrochloride	Breast Neoplasms	1997	2007
Sildenafil Citrate	Hypertension, Pulmonary	1999	2012
Thalidomide	Multiple Myeloma	1998	2006
Zidovudine	Acquired Immunodeficiency Syndrome	1985	2008
Ceftriaxone	Amyotrophic Lateral Sclerosis	1991	-1
Metformin	Breast Neoplasms	2007	-1
Nitric Oxide	Respiratory Distress Syndrome, Adult	2013	-1
Lidocaine	Asthma	1966	-1
